WordFreqMake_geq_0.01,WordFreqAddress_geq_0.01,WordFreqAll_geq_0.01,WordFreq3D_geq_0.01,WordFreqOur_geq_0.01,WordFreqOver_geq_0.01,WordFreqRemove_geq_0.01,WordFreqInternet_geq_0.01,WordFreqOrder_geq_0.01,WordFreqMail_geq_0.01,WordFreqReceive_geq_0.01,WordFreqWill_geq_0.01,WordFreqPeople_geq_0.01,WordFreqReport_geq_0.01,WordFreqAddresses_geq_0.01,WordFreqFree_geq_0.01,WordFreqBusiness_geq_0.01,WordFreqEmail_geq_0.01,WordFreqYou_geq_0.01,WordFreqCredit_geq_0.01,WordFreqYour_geq_0.01,WordFreqFont_geq_0.01,WordFreq0_geq_0.01,WordFreqMoney_geq_0.01,WordFreqHP_geq_0.01,WordFreqHPL_geq_0.01,WordFreqGeorge_geq_0.01,WordFreq650_geq_0.01,WordFreqLab_geq_0.01,WordFreqLabs_geq_0.01,WordFreqTelnet_geq_0.01,WordFreq857_geq_0.01,WordFreqData_geq_0.01,WordFreq415_geq_0.01,WordFreq85_geq_0.01,WordFreqTechnology_geq_0.01,WordFreq1999_geq_0.01,WordFreqParts_geq_0.01,WordFreqPM_geq_0.01,WordFreqDirect_geq_0.01,WordFreqCS_geq_0.01,WordFreqMeeting_geq_0.01,WordFreqOriginal_geq_0.01,WordFreqProject_geq_0.01,WordFreqRE_geq_0.01,WordFreqEDU_geq_0.01,WordFreqTable_geq_0.01,WordFreqConference_geq_0.01,CharFreqSemicolon_geq_0.1,CharFreqParentheses_geq_0.1,CharFreqBracket_geq_0.1,CharFreqExcalamationMark_geq_0.1,CharFreqDollarSign_geq_0.1,CharFreqPound_geq_0.1,CapitalRunLengthAverage_geq_5,CapitalRunLengthLongest_geq_10,CapitalRunLengthTotal_geq_50,Spam
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1
1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1
0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1
1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
